Clusters 4, Iteration break 20, SS(k)=4.637587e+08, p1=73.20, p2=89.68 & p3 81.44 
Clusters 5, Iteration break 13, SS(k)=4.412303e+08, p1=58.47, p2=91.66 & p3 75.07 
Clusters 6, Iteration break 20, SS(k)=4.330524e+08, p1=55.97, p2=92.87 & p3 74.42 
Clusters 7, Iteration break 17, SS(k)=4.194032e+08, p1=51.61, p2=95.73 & p3 73.67 
Clusters 8, Iteration break 20, SS(k)=3.995116e+08, p1=39.54, p2=95.53 & p3 67.54 
Clusters 9, Iteration break 20, SS(k)=3.926670e+08, p1=34.65, p2=96.64 & p3 65.64 
Clusters 10, Iteration break 19, SS(k)=3.824538e+08, p1=34.79, p2=97.59 & p3 66.19 
Clusters 1, Iteration break 2, SS(k)=5.961016e+08, p1=100.00, p2=0.00 & p3 50.00 
Clusters 2, Iteration break 10, SS(k)=5.395093e+08, p1=77.90, p2=57.76 & p3 67.83 
Clusters 3, Iteration break 14, SS(k)=4.832202e+08, p1=82.00, p2=83.07 & p3 82.53 
Clusters 4, Iteration break 14, SS(k)=4.637725e+08, p1=74.57, p2=90.41 & p3 82.49 
Clusters 5, Iteration break 16, SS(k)=4.450985e+08, p1=58.88, p2=90.70 & p3 74.79 
Clusters 6, Iteration break 20, SS(k)=4.306569e+08, p1=54.60, p2=94.26 & p3 74.43 
Clusters 7, Iteration break 20, SS(k)=4.146211e+08, p1=40.06, p2=94.09 & p3 67.07 
Clusters 8, Iteration break 20, SS(k)=4.019151e+08, p1=39.41, p2=96.10 & p3 67.75 
Clusters 9, Iteration break 15, SS(k)=3.919951e+08, p1=36.84, p2=97.29 & p3 67.06 
Clusters 10, Iteration break 20, SS(k)=3.850710e+08, p1=35.43, p2=97.26 & p3 66.34 
Clusters 1, Iteration break 2, SS(k)=5.961016e+08, p1=100.00, p2=0.00 & p3 50.00 
Clusters 2, Iteration break 9, SS(k)=5.358712e+08, p1=83.08, p2=53.93 & p3 68.51 
Clusters 3, Iteration break 10, SS(k)=4.832287e+08, p1=81.61, p2=82.79 & p3 82.20 
Clusters 4, Iteration break 20, SS(k)=4.673792e+08, p1=67.51, p2=85.06 & p3 76.28 
Clusters 5, Iteration break 20, SS(k)=4.415009e+08, p1=58.15, p2=91.69 & p3 74.92 
Clusters 6, Iteration break 20, SS(k)=4.228583e+08, p1=44.60, p2=92.56 & p3 68.58 
Clusters 7, Iteration break 20, SS(k)=4.257550e+08, p1=42.70, p2=89.23 & p3 65.96 
Clusters 8, Iteration break 12, SS(k)=4.006764e+08, p1=40.27, p2=96.25 & p3 68.26 
Clusters 9, Iteration break 13, SS(k)=3.921495e+08, p1=36.74, p2=96.88 & p3 66.81 
Clusters 10, Iteration break 18, SS(k)=3.869630e+08, p1=33.14, p2=97.20 & p3 65.17 
Clusters 1, Iteration break 2, SS(k)=5.961016e+08, p1=100.00, p2=0.00 & p3 50.00 
Clusters 2, Iteration break 20, SS(k)=5.395201e+08, p1=83.81, p2=57.18 & p3 70.50 
Clusters 3, Iteration break 9, SS(k)=4.832287e+08, p1=81.61, p2=82.79 & p3 82.20 
Clusters 4, Iteration break 19, SS(k)=4.649424e+08, p1=67.44, p2=84.24 & p3 75.84 
Clusters 5, Iteration break 20, SS(k)=4.419178e+08, p1=62.02, p2=92.46 & p3 77.24 
Clusters 6, Iteration break 20, SS(k)=4.333371e+08, p1=51.23, p2=92.80 & p3 72.01 
Clusters 7, Iteration break 20, SS(k)=4.104913e+08, p1=44.23, p2=95.50 & p3 69.86 
Clusters 8, Iteration break 20, SS(k)=4.019093e+08, p1=39.57, p2=95.92 & p3 67.75 
Clusters 9, Iteration break 14, SS(k)=3.905920e+08, p1=37.03, p2=96.83 & p3 66.93 
Clusters 10, Iteration break 19, SS(k)=3.896241e+08, p1=36.29, p2=96.23 & p3 66.26 
Clusters 1, Iteration break 2, SS(k)=5.961016e+08, p1=100.00, p2=0.00 & p3 50.00 
Clusters 2, Iteration break 13, SS(k)=5.358734e+08, p1=83.22, p2=54.07 & p3 68.65 
Clusters 3, Iteration break 12, SS(k)=4.832468e+08, p1=82.50, p2=83.28 & p3 82.89 
Clusters 4, Iteration break 20, SS(k)=4.637362e+08, p1=73.27, p2=89.70 & p3 81.48 
Clusters 5, Iteration break 20, SS(k)=4.454997e+08, p1=58.71, p2=90.76 & p3 74.73 
Clusters 6, Iteration break 13, SS(k)=4.317596e+08, p1=57.28, p2=94.21 & p3 75.74 
Clusters 7, Iteration break 20, SS(k)=4.144961e+08, p1=41.74, p2=93.27 & p3 67.50 
Clusters 8, Iteration break 20, SS(k)=4.064356e+08, p1=34.28, p2=94.22 & p3 64.25 
Clusters 9, Iteration break 15, SS(k)=3.924423e+08, p1=35.06, p2=95.60 & p3 65.33 
Clusters 10, Iteration break 13, SS(k)=3.986424e+08, p1=46.80, p2=96.52 & p3 71.66 
